EntrezGeneID	Annotation
aten_0.1.m1.1.m1	glutamyl aminopeptidase-like isoform X1
aten_0.1.m1.10.m1	methionyl-tRNA mitochondrial-like
aten_0.1.m1.1000.m1	ras RAS2
aten_0.1.m1.10000.m1	cilia- and flagella-associated 54-like
aten_0.1.m1.10001.m1	PREDICTED: uncharacterized protein LOC107333456
aten_0.1.m1.10002.m1	centromere L-like
aten_0.1.m1.10003.m1	reversion-inducing cysteine-rich with Kazal motifs-like
aten_0.1.m1.10004.m1	UPF0553 C9orf64-like isoform X1
aten_0.1.m1.10005.m1	SEC13 homolog
aten_0.1.m1.10006.m1	PREDICTED: uncharacterized protein LOC107333448
aten_0.1.m1.10007.m1	probable methyltransferase BMT2 homolog isoform X2
aten_0.1.m1.10008.m1	PDZ domain-containing MAGIX-like
aten_0.1.m1.10009.m1	predicted protein
aten_0.1.m1.1001.m1	achaete-scute homolog 1
aten_0.1.m1.10010.m1	serine racemase
aten_0.1.m1.10011.m1	transmembrane 168-like
aten_0.1.m1.10012.m1	serine arginine repetitive matrix 1-like isoform X1
aten_0.1.m1.10013.m1	sentrin-specific protease 8
aten_0.1.m1.10014.m1	---NA---
aten_0.1.m1.10015.m1	ras-related Rab-7L1-like
aten_0.1.m1.10016.m1	RNA-dependent RNA polymerase 1
aten_0.1.m1.10017.m1	ataxin-7 1
aten_0.1.m1.10018.m1	---NA---
aten_0.1.m1.10019.m1	PREDICTED: caspase-3-like, partial
aten_0.1.m1.1002.m1	helix-loop-helix 2-like
aten_0.1.m1.10020.m1	caspase-3-like isoform X1
aten_0.1.m1.10022.m1	RNA-dependent RNA polymerase 1
aten_0.1.m1.10023.m1	RNA-dependent RNA polymerase 1
aten_0.1.m1.10024.m1	RNA-dependent RNA polymerase 1
aten_0.1.m1.10025.m1	sentrin-specific protease 8
aten_0.1.m1.10026.m1	copine-8-like isoform X1
aten_0.1.m1.10027.m1	---NA---
aten_0.1.m1.10028.m1	RNA-dependent RNA polymerase 1
aten_0.1.m1.1003.m1	achaete-scute homolog 2-like
aten_0.1.m1.10030.m1	Kinesin light chain 3
aten_0.1.m1.10031.m1	Rab GDP dissociation inhibitor alpha
aten_0.1.m1.10032.m1	uncharacterized oxidoreductase -like
aten_0.1.m1.10034.m1	sonic hedgehog -like
aten_0.1.m1.10035.m1	N-acetyltransferase 8-like
aten_0.1.m1.10036.m1	tubulin monoglycylase TTLL3-like
aten_0.1.m1.10037.m1	exportin-T isoform X2
aten_0.1.m1.10038.m1	60S ribosomal L18a-like
aten_0.1.m1.10039.m1	synaptophysin 1
aten_0.1.m1.1004.m1	bombyxin-related peptide B-like isoform X2
aten_0.1.m1.10040.m1	serine threonine- kinase TBK1-like
aten_0.1.m1.10042.m1	uncharacterized protein C1orf194 homolog
aten_0.1.m1.10044.m1	PREDICTED: uncharacterized protein LOC107340173
aten_0.1.m1.10045.m1	constitutive coactivator of PPAR-gamma 1
