EntrezGeneID	Annotation	GOterms
SymbC1.scaffold1.10.m1	TRAP-type uncharacterized transport fused permease components	
SymbC1.scaffold1.100.m1	maltose alpha-D-glucosyltransferase	GO:0005978|GO:0003844|GO:0043169|GO:0005992|GO:0004553
SymbC1.scaffold1.1000.m1	adenylosuccinate synthase	GO:0005525|GO:0004019|GO:0006164
SymbC1.scaffold1.1004.m1	UDP-glucose 4-epimerase	GO:0008270|GO:0050662|GO:0003824
SymbC1.scaffold1.1009.m1	tandem-95 repeat	GO:0005509|GO:0016020|GO:0006508|GO:0004252
SymbC1.scaffold1.1010.m1	hypothetical protein	
SymbC1.scaffold1.1012.m1	pyruvate kinase	GO:0000287|GO:0004743|GO:0030955|GO:0006096
SymbC1.scaffold1.1013.m1	phosphoglycerate kinase	GO:0016209|GO:0016491|GO:0004618|GO:0006096|GO:0055114
SymbC1.scaffold1.1015.m1	type I glutamate--ammonia ligase	GO:0006542|GO:0004356
SymbC1.scaffold1.1018.m1	response regulator	GO:0000155|GO:0005524|GO:0005515|GO:0008484|GO:0000160|GO:0006468
SymbC1.scaffold1.1020.m1	hypothetical protein AB838_18525	
SymbC1.scaffold1.1024.m1	site-specific integrase	GO:0003677|GO:0006310|GO:0015074
SymbC1.scaffold1.1025.m1	MBL fold hydrolase	
SymbC1.scaffold1.1029.m1	glucose sorbosone dehydrogenase	GO:0003824
SymbC1.scaffold1.103.m1	crossover junction endodeoxyribonuclease	GO:0003676|GO:0006281|GO:0006310|GO:0004520
SymbC1.scaffold1.1031.m1	DUF1549 domain-containing	
SymbC1.scaffold1.1035.m1	signal peptide	
SymbC1.scaffold1.1036.m1	tol-pal system	GO:0005515
SymbC1.scaffold1.1040.m1	hypothetical protein	
SymbC1.scaffold1.1044.m1	hypothetical protein Psta_1714	
SymbC1.scaffold1.1048.m1	Arylsulfatase precursor	GO:0008484
SymbC1.scaffold1.105.m1	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	GO:0008685|GO:0016114
SymbC1.scaffold1.1051.m1	xanthine dehydrogenase family molybdopterin-binding subunit	GO:0071949|GO:0016491|GO:0046872|GO:0009055|GO:0055114|GO:0051536
SymbC1.scaffold1.1060.m1	FHA domain-containing	GO:0005515
SymbC1.scaffold1.1061.m1	sugar phosphate isomerase epimerase	
SymbC1.scaffold1.1062.m1	ribosomal RNA small subunit methyltransferase A	GO:0000154|GO:0000179
SymbC1.scaffold1.1067.m1	DUF1559 domain-containing	
SymbC1.scaffold1.1068.m1	tetratricopeptide repeat 6 isoform A	GO:0005515
SymbC1.scaffold1.1069.m1	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase	GO:0008616|GO:0016740|GO:0016853
SymbC1.scaffold1.1075.m1	tRNA pseudouridine(55) synthase	GO:0001522|GO:0003723|GO:0006396|GO:0009982
SymbC1.scaffold1.1076.m1	phospholipase carboxylesterase	GO:0006508|GO:0008236|GO:0003729
SymbC1.scaffold1.1078.m1	phosphoribosylamine--glycine ligase	GO:0005524|GO:0004637|GO:0016491|GO:0046872|GO:0055114|GO:0009113|GO:0042128
SymbC1.scaffold1.1079.m1	serine threonine kinase	GO:0005524|GO:0004672|GO:0006468
SymbC1.scaffold1.1082.m1	Uncharacterized membrane	
SymbC1.scaffold1.1084.m1	prolyl endopeptidase	GO:0006508|GO:0004252|GO:0070008
